qm
2.621637696
2.781159668
3.397432731
4.203894036
5.448246671
5.675256949
6.864200825
2.709452603
2.837918029
2.780001334
2.943026104
3.027112564
3.678052857
3.296189236
2.317633057
2.669913281
5.675256949
