Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
1,580;75,73;-7,592;-6,545;-21,817;-0,1812;-0,156;-0,521
1,600;77,05;-7,732;-7,418;-32,725;-0,1846;-0,177;-0,781
1,620;78,16;-7,889;-7,854;32,725;-0,1883;-0,187;0,781
1,640;79,35;-8,046;-6,109;98,175;-0,1921;-0,146;2,344
1,660;81,08;-8,133;-3,927;87,266;-0,1942;-0,094;2,083
1,680;82,26;-8,203;-2,618;54,542;-0,1958;-0,063;1,302
1,700;83,59;-8,238;-1,745;10,908;-0,1967;-0,042;0,260
1,720;84,43;-8,273;-2,182;-32,725;-0,1975;-0,052;-0,781
1,740;85,16;-8,325;-3,054;-32,725;-0,1987;-0,073;-0,781
1,760;86,07;-8,395;-3,491;-10,908;-0,2004;-0,083;-0,260
1,780;86,64;-8,465;-3,491;-1,110E-12;-0,2021;-0,083;-1,735E-14
1,800;87,14;-8,535;-3,491;-10,908;-0,2037;-0,083;-0,260
1,820;87,70;-8,604;-3,927;-21,817;-0,2054;-0,094;-0,521
1,840;88,11;-8,692;-4,363;10,908;-0,2075;-0,104;0,260
1,860;88,50;-8,779;-3,491;54,542;-0,2096;-0,083;1,302
1,880;89,04;-8,831;-2,182;21,817;-0,2108;-0,052;0,521
1,900;89,48;-8,866;-2,618;-32,725;-0,2117;-0,063;-0,781
1,920;89,94;-8,936;-3,491;-43,633;-0,2133;-0,083;-1,042
1,940;90,47;-9,006;-4,363;-43,633;-0,2150;-0,104;-1,042
1,960;90,80;-9,111;-5,236;-10,908;-0,2175;-0,125;-0,260
1,980;91,06;-9,215;-4,800;21,817;-0,2200;-0,115;0,521
2,000;91,35;-9,303;-4,363;-10,908;-0,2221;-0,104;-0,260
2,020;91,57;-9,390;-5,236;-43,633;-0,2242;-0,125;-1,042
2,040;91,77;-9,512;-6,109;-21,817;-0,2271;-0,146;-0,521
2,060;91,87;-9,634;-6,109;21,817;-0,2300;-0,146;0,521
2,080;91,88;-9,756;-5,236;32,725;-0,2329;-0,125;0,781
2,100;91,85;-9,844;-4,800;0,000;-0,2350;-0,115;0,000
2,120;91,72;-9,948;-5,236;-21,817;-0,2375;-0,125;-0,521
2,140;91,52;-10,053;-5,672;-32,725;-0,2400;-0,135;-0,781
2,160;91,25;-10,175;-6,545;-32,725;-0,2429;-0,156;-0,781
2,180;90,80;-10,315;-6,981;-10,908;-0,2463;-0,167;-0,260
2,200;90,34;-10,455;-6,981;1,110E-12;-0,2496;-0,167;1,735E-14
2,220;89,65;-10,594;-6,981;-10,908;-0,2529;-0,167;-0,260
2,240;88,97;-10,734;-7,418;-21,817;-0,2562;-0,177;-0,521
2,260;88,08;-10,891;-7,854;-54,542;-0,2600;-0,187;-1,302
2,280;86,73;-11,048;-9,599;-98,175;-0,2637;-0,229;-2,344
2,300;85,57;-11,275;-11,781;-32,725;-0,2692;-0,281;-0,781
2,320;84,29;-11,519;-10,908;87,266;-0,2750;-0,260;2,083
2,340;82,33;-11,711;-8,290;130,900;-0,2796;-0,198;3,125
2,360;80,65;-11,851;-5,672;109,083;-0,2829;-0,135;2,604
2,380;78,93;-11,938;-3,927;32,725;-0,2850;-0,094;0,781
2,400;76,84;-12,008;-4,363;-32,725;-0,2867;-0,104;-0,781
2,420;75,53;-12,113;-5,236;-10,908;-0,2892;-0,125;-0,260
2,440;74,10;-12,217;-4,800;21,817;-0,2917;-0,115;0,521
2,460;73,22;-12,305;-4,363;43,633;-0,2937;-0,104;1,042
2,480;72,42;-12,392;-3,054;87,266;-0,2958;-0,073;2,083
2,500;71,49;-12,427;-0,873;76,358;-0,2967;-0,021;1,823
2,520;70,87;-12,427;0,000;21,817;-0,2967;0,000;0,521
2,540;70,35;-12,427;0,000;0,000;-0,2967;0,000;0,000
2,560;69,84;-12,427;0,000;0,000;-0,2967;0,000;0,000
2,580;69,58;-12,427;0,000;10,908;-0,2967;0,000;0,260
2,600;69,34;-12,427;0,436;10,908;-0,2967;0,010;0,260
2,620;69,09;-12,409;0,436;-10,908;-0,2962;0,010;-0,260
2,640;68,96;-12,409;0,000;-10,908;-0,2962;0,000;-0,260
2,660;68,88;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,680;68,83;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,700;68,79;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,720;68,73;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,740;68,73;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,760;68,76;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,780;68,73;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,800;68,73;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,820;68,71;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,840;68,67;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,860;68,66;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,880;68,66;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,900;68,65;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,920;68,66;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,940;68,67;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,960;68,68;-12,409;0,000;0,000;-0,2962;0,000;0,000
2,980;68,67;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,000;68,67;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,020;68,67;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,040;68,66;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,060;68,66;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,080;68,68;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,100;68,68;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,120;68,69;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,140;68,69;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,160;68,71;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,180;68,69;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,200;68,64;-12,409;0,000;0,000;-0,2962;0,000;0,000
3,220;68,65;-12,409;0,000;10,908;-0,2962;0,000;0,260
3,240;68,66;-12,409;0,436;10,908;-0,2962;0,010;0,260
3,260;68,67;-12,392;0,436;-10,908;-0,2958;0,010;-0,260
3,280;68,71;-12,392;0,000;-10,908;-0,2958;0,000;-0,260
3,300;68,69;-12,392;0,000;0,000;-0,2958;0,000;0,000
3,320;68,63;-12,392;0,000;0,000;-0,2958;0,000;0,000
3,340;68,68;-12,392;0,000;0,000;-0,2958;0,000;0,000
3,360;68,68;-12,392;0,000;0,000;-0,2958;0,000;0,000
3,380;68,65;-12,392;0,000;0,000;-0,2958;0,000;0,000
3,400;68,67;-12,392;0,000;0,000;-0,2958;0,000;0,000
3,420;68,64;-12,392;0,000;;-0,2958;0,000;
