Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
0,000;53,29;0,000;;;0,0000;;
0,020;53,28;0,000;0,000;;0,0000;0,000;
0,040;53,25;0,000;0,000;-10,908;0,0000;0,000;-0,260
0,060;53,28;0,000;-0,436;-10,908;0,0000;-0,010;-0,260
0,080;53,28;-0,017;-0,436;10,908;-4,1667E-4;-0,010;0,260
0,100;53,26;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,120;53,24;-0,017;-0,436;-32,725;-4,1667E-4;-0,010;-0,781
0,140;53,27;-0,035;-1,309;-10,908;-8,3333E-4;-0,031;-0,260
0,160;53,28;-0,070;-0,873;21,817;-0,0017;-0,021;0,521
0,180;53,29;-0,070;-0,436;1,110E-14;-0,0017;-0,010;5,204E-16
0,200;53,31;-0,087;-0,873;-10,908;-0,0021;-0,021;-0,260
0,220;53,29;-0,105;-0,873;-10,908;-0,0025;-0,021;-0,260
0,240;53,31;-0,122;-1,309;-10,908;-0,0029;-0,031;-0,260
0,260;53,29;-0,157;-1,309;-2,776E-14;-0,0037;-0,031;0,000
0,280;53,28;-0,175;-1,309;-10,908;-0,0042;-0,031;-0,260
0,300;53,27;-0,209;-1,745;-21,817;-0,0050;-0,042;-0,521
0,320;53,29;-0,244;-2,182;-21,817;-0,0058;-0,052;-0,521
0,340;53,31;-0,297;-2,618;-6,661E-14;-0,0071;-0,063;-1,908E-15
0,360;53,33;-0,349;-2,182;32,725;-0,0083;-0,052;0,781
0,380;53,33;-0,384;-1,309;32,725;-0,0092;-0,031;0,781
0,400;53,33;-0,401;-0,873;-5,551E-15;-0,0096;-0,021;-1,041E-15
0,420;53,34;-0,419;-1,309;-32,725;-0,0100;-0,031;-0,781
0,440;53,33;-0,454;-2,182;-32,725;-0,0108;-0,052;-0,781
0,460;53,34;-0,506;-2,618;-10,908;-0,0121;-0,063;-0,260
0,480;53,35;-0,559;-2,618;1,332E-13;-0,0133;-0,062;3,123E-15
0,500;53,34;-0,611;-2,618;-10,908;-0,0146;-0,062;-0,260
0,520;53,30;-0,663;-3,054;-10,908;-0,0158;-0,073;-0,260
0,540;53,34;-0,733;-3,054;-2,109E-13;-0,0175;-0,073;-6,245E-15
0,560;53,34;-0,785;-3,054;-2,109E-13;-0,0188;-0,073;-2,776E-15
0,580;53,37;-0,855;-3,054;21,817;-0,0204;-0,073;0,521
0,600;53,37;-0,908;-2,182;43,633;-0,0217;-0,052;1,042
0,620;53,38;-0,942;-1,309;32,725;-0,0225;-0,031;0,781
0,640;53,36;-0,960;-0,873;-7,216E-14;-0,0229;-0,021;0,000
0,660;53,33;-0,977;-1,309;-54,542;-0,0233;-0,031;-1,302
0,680;53,39;-1,012;-3,054;-54,542;-0,0242;-0,073;-1,302
0,700;53,40;-1,100;-3,491;10,908;-0,0262;-0,083;0,260
0,720;53,38;-1,152;-2,618;9,992E-14;-0,0275;-0,063;3,816E-15
0,740;53,33;-1,204;-3,491;-21,817;-0,0287;-0,083;-0,521
0,760;53,35;-1,292;-3,491;21,817;-0,0308;-0,083;0,521
0,780;53,39;-1,344;-2,618;32,725;-0,0321;-0,062;0,781
0,800;53,39;-1,396;-2,182;32,725;-0,0333;-0,052;0,781
0,820;53,37;-1,431;-1,309;21,817;-0,0342;-0,031;0,521
0,840;53,38;-1,449;-1,309;2,276E-13;-0,0346;-0,031;6,592E-15
0,860;53,39;-1,484;-1,309;10,908;-0,0354;-0,031;0,260
0,880;53,42;-1,501;-0,873;-1,388E-13;-0,0358;-0,021;-4,337E-15
0,900;53,44;-1,518;-1,309;-43,633;-0,0362;-0,031;-1,042
0,920;53,45;-1,553;-2,618;-43,633;-0,0371;-0,062;-1,042
0,940;53,45;-1,623;-3,054;-1,887E-13;-0,0387;-0,073;0,000
0,960;53,42;-1,676;-2,618;3,442E-13;-0,0400;-0,062;6,939E-16
0,980;53,41;-1,728;-3,054;-32,725;-0,0412;-0,073;-0,781
1,000;53,42;-1,798;-3,927;-10,908;-0,0429;-0,094;-0,260
1,020;53,47;-1,885;-3,491;54,542;-0,0450;-0,083;1,302
1,040;53,48;-1,937;-1,745;54,542;-0,0462;-0,042;1,302
1,060;53,48;-1,955;-1,309;-10,908;-0,0467;-0,031;-0,260
1,080;53,49;-1,990;-2,182;-21,817;-0,0475;-0,052;-0,521
1,100;53,46;-2,042;-2,182;21,817;-0,0487;-0,052;0,521
1,120;53,43;-2,077;-1,309;21,817;-0,0496;-0,031;0,521
1,140;53,45;-2,094;-1,309;-21,817;-0,0500;-0,031;-0,521
1,160;53,45;-2,129;-2,182;-43,633;-0,0508;-0,052;-1,042
1,180;53,51;-2,182;-3,054;-10,908;-0,0521;-0,073;-0,260
1,200;53,50;-2,251;-2,618;32,725;-0,0537;-0,062;0,781
1,220;53,52;-2,286;-1,745;2,776E-13;-0,0546;-0,042;4,337E-15
1,240;53,55;-2,321;-2,618;-43,633;-0,0554;-0,062;-1,042
1,260;53,59;-2,391;-3,491;-10,908;-0,0571;-0,083;-0,260
1,280;53,57;-2,461;-3,054;21,817;-0,0587;-0,073;0,521
1,300;53,55;-2,513;-2,618;10,908;-0,0600;-0,062;0,260
1,320;53,56;-2,566;-2,618;-2,776E-13;-0,0612;-0,062;0,000
1,340;53,55;-2,618;-2,618;10,908;-0,0625;-0,062;0,260
1,360;53,57;-2,670;-2,182;21,817;-0,0637;-0,052;0,521
1,380;53,60;-2,705;-1,745;-2,998E-13;-0,0646;-0,042;-1,162E-14
1,400;53,61;-2,740;-2,182;-10,908;-0,0654;-0,052;-0,260
1,420;53,65;-2,793;-2,182;2,998E-13;-0,0667;-0,052;1,596E-14
1,440;53,64;-2,827;-2,182;2,998E-13;-0,0675;-0,052;-1,388E-15
1,460;53,63;-2,880;-2,182;10,908;-0,0687;-0,052;0,260
1,480;53,63;-2,915;-1,745;10,908;-0,0696;-0,042;0,260
1,500;53,63;-2,950;-1,745;-10,908;-0,0704;-0,042;-0,260
1,520;53,66;-2,985;-2,182;-32,725;-0,0712;-0,052;-0,781
1,540;53,71;-3,037;-3,054;-32,725;-0,0725;-0,073;-0,781
1,560;53,72;-3,107;-3,491;0,000;-0,0742;-0,083;0,000
1,580;53,72;-3,176;-3,054;21,817;-0,0758;-0,073;0,521
1,600;53,74;-3,229;-2,618;10,908;-0,0771;-0,062;0,260
1,620;53,75;-3,281;-2,618;10,908;-0,0783;-0,062;0,260
1,640;53,77;-3,334;-2,182;21,817;-0,0796;-0,052;0,521
1,660;53,77;-3,368;-1,745;10,908;-0,0804;-0,042;0,260
1,680;53,79;-3,403;-1,745;-3,331E-14;-0,0812;-0,042;-2,949E-15
1,700;53,82;-3,438;-1,745;10,908;-0,0821;-0,042;0,260
1,720;53,85;-3,473;-1,309;21,817;-0,0829;-0,031;0,521
1,740;53,88;-3,491;-0,873;21,817;-0,0833;-0,021;0,521
1,760;53,92;-3,508;-0,436;10,908;-0,0837;-0,010;0,260
1,780;53,94;-3,508;-0,436;0,000;-0,0837;-0,010;-8,674E-15
1,800;53,94;-3,526;-0,436;2,776E-13;-0,0842;-0,010;8,674E-15
1,820;53,91;-3,526;-0,436;2,776E-13;-0,0842;-0,010;8,674E-15
1,840;53,92;-3,543;-0,436;-2,776E-13;-0,0846;-0,010;0,000
1,860;53,97;-3,543;-0,436;-2,776E-13;-0,0846;-0,010;0,000
1,880;54,05;-3,560;-0,436;10,908;-0,0850;-0,010;0,260
1,900;54,05;-3,560;0,000;10,908;-0,0850;0,000;0,260
1,920;54,11;-3,560;0,000;-10,908;-0,0850;0,000;-0,260
1,940;54,12;-3,560;-0,436;-32,725;-0,0850;-0,010;-0,781
1,960;54,17;-3,578;-1,309;-32,725;-0,0854;-0,031;-0,781
1,980;54,13;-3,613;-1,745;-32,725;-0,0862;-0,042;-0,781
2,000;54,10;-3,648;-2,618;-43,633;-0,0871;-0,062;-1,042
2,020;54,09;-3,718;-3,491;-32,725;-0,0887;-0,083;-0,781
2,040;54,10;-3,787;-3,927;-10,908;-0,0904;-0,094;-0,260
2,060;54,11;-3,875;-3,927;5,551E-13;-0,0925;-0,094;8,674E-15
2,080;54,14;-3,944;-3,927;10,908;-0,0942;-0,094;0,260
2,100;54,20;-4,032;-3,491;32,725;-0,0962;-0,083;0,781
2,120;54,27;-4,084;-2,618;10,908;-0,0975;-0,062;0,260
2,140;54,34;-4,136;-3,054;0,000;-0,0987;-0,073;0,000
2,160;54,40;-4,206;-2,618;43,633;-0,1004;-0,062;1,042
2,180;54,51;-4,241;-1,309;32,725;-0,1012;-0,031;0,781
2,200;54,63;-4,259;-1,309;-21,817;-0,1017;-0,031;-0,521
2,220;54,72;-4,294;-2,182;-32,725;-0,1025;-0,052;-0,781
2,240;54,81;-4,346;-2,618;-10,908;-0,1037;-0,062;-0,260
2,260;54,85;-4,398;-2,618;-10,908;-0,1050;-0,062;-0,260
2,280;54,91;-4,451;-3,054;-43,633;-0,1062;-0,073;-1,042
2,300;55,00;-4,520;-4,363;-21,817;-0,1079;-0,104;-0,521
2,320;55,11;-4,625;-3,927;65,450;-0,1104;-0,094;1,563
2,340;55,28;-4,677;-1,745;54,542;-0,1117;-0,042;1,302
2,360;55,43;-4,695;-1,745;-43,633;-0,1121;-0,042;-1,042
2,380;55,59;-4,747;-3,491;-54,542;-0,1133;-0,083;-1,302
2,400;55,72;-4,835;-3,927;-5,551E-13;-0,1154;-0,094;-8,674E-15
2,420;55,96;-4,904;-3,491;10,908;-0,1171;-0,083;0,260
2,440;56,18;-4,974;-3,491;10,908;-0,1187;-0,083;0,260
2,460;56,35;-5,044;-3,054;10,908;-0,1204;-0,073;0,260
2,480;56,60;-5,096;-3,054;10,908;-0,1217;-0,073;0,260
2,500;56,84;-5,166;-2,618;21,817;-0,1233;-0,062;0,521
