Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
1,740;69,11;-1,169;-2,182;-32,725;-0,0279;-0,052;-0,781
1,760;69,15;-1,222;-3,054;-21,817;-0,0292;-0,073;-0,521
1,780;69,15;-1,292;-3,054;10,908;-0,0308;-0,073;0,260
1,800;69,10;-1,344;-2,618;32,725;-0,0321;-0,062;0,781
1,820;69,09;-1,396;-1,745;21,817;-0,0333;-0,042;0,521
1,840;69,13;-1,414;-1,745;-1,388E-13;-0,0337;-0,042;-4,337E-15
1,860;69,14;-1,466;-1,745;10,908;-0,0350;-0,042;0,260
1,880;69,12;-1,484;-1,309;-10,908;-0,0354;-0,031;-0,260
1,900;69,13;-1,518;-2,182;-32,725;-0,0362;-0,052;-0,781
1,920;69,15;-1,571;-2,618;-21,817;-0,0375;-0,063;-0,521
1,940;69,14;-1,623;-3,054;-32,725;-0,0387;-0,073;-0,781
1,960;69,12;-1,693;-3,927;-21,817;-0,0404;-0,094;-0,521
1,980;69,16;-1,780;-3,927;21,817;-0,0425;-0,094;0,521
2,000;69,14;-1,850;-3,054;32,725;-0,0442;-0,073;0,781
2,020;69,12;-1,902;-2,618;10,908;-0,0454;-0,062;0,260
2,040;69,12;-1,955;-2,618;0,000;-0,0467;-0,062;-4,337E-15
2,060;69,12;-2,007;-2,618;-10,908;-0,0479;-0,062;-0,260
2,080;69,14;-2,059;-3,054;-10,908;-0,0492;-0,073;-0,260
2,100;69,15;-2,129;-3,054;21,817;-0,0508;-0,073;0,521
2,120;69,20;-2,182;-2,182;10,908;-0,0521;-0,052;0,260
2,140;69,20;-2,217;-2,618;-43,633;-0,0529;-0,062;-1,042
2,160;69,18;-2,286;-3,927;-43,633;-0,0546;-0,094;-1,042
2,180;69,20;-2,374;-4,363;2,776E-13;-0,0567;-0,104;4,163E-15
2,200;69,21;-2,461;-3,927;21,817;-0,0587;-0,094;0,521
2,220;69,21;-2,531;-3,491;10,908;-0,0604;-0,083;0,260
2,240;69,22;-2,601;-3,491;-10,908;-0,0621;-0,083;-0,260
2,260;69,22;-2,670;-3,927;-10,908;-0,0637;-0,094;-0,260
2,280;69,21;-2,758;-3,927;21,817;-0,0658;-0,094;0,521
2,300;69,27;-2,827;-3,054;43,633;-0,0675;-0,073;1,042
2,320;69,29;-2,880;-2,182;10,908;-0,0687;-0,052;0,260
2,340;69,29;-2,915;-2,618;-43,633;-0,0696;-0,062;-1,042
2,360;69,30;-2,985;-3,927;-43,633;-0,0712;-0,094;-1,042
2,380;69,28;-3,072;-4,363;2,776E-13;-0,0733;-0,104;8,674E-15
2,400;69,28;-3,159;-3,927;10,908;-0,0754;-0,094;0,260
2,420;69,27;-3,229;-3,927;-10,908;-0,0771;-0,094;-0,260
2,440;69,28;-3,316;-4,363;-21,817;-0,0792;-0,104;-0,521
2,460;69,29;-3,403;-4,800;-10,908;-0,0812;-0,115;-0,260
2,480;69,31;-3,508;-4,800;10,908;-0,0837;-0,115;0,260
2,500;69,32;-3,595;-4,363;10,908;-0,0858;-0,104;0,260
