Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
0,000;58,66;0,000;;;0,0000;;
0,020;58,65;0,000;0,000;;0,0000;0,000;
0,040;58,65;0,000;0,000;0,000;0,0000;0,000;0,000
0,060;58,67;0,000;0,000;0,000;0,0000;0,000;0,000
0,080;58,66;0,000;0,000;0,000;0,0000;0,000;0,000
0,100;58,70;0,000;0,000;0,000;0,0000;0,000;0,000
0,120;58,69;0,000;0,000;0,000;0,0000;0,000;0,000
0,140;58,68;0,000;0,000;0,000;0,0000;0,000;0,000
0,160;58,67;0,000;0,000;0,000;0,0000;0,000;0,000
0,180;58,65;0,000;0,000;0,000;0,0000;0,000;0,000
0,200;58,68;0,000;0,000;0,000;0,0000;0,000;0,000
0,220;58,69;0,000;0,000;0,000;0,0000;0,000;0,000
0,240;58,67;0,000;0,000;0,000;0,0000;0,000;0,000
0,260;58,66;0,000;0,000;0,000;0,0000;0,000;0,000
0,280;58,66;0,000;0,000;0,000;0,0000;0,000;0,000
0,300;58,65;0,000;0,000;0,000;0,0000;0,000;0,000
0,320;58,70;0,000;0,000;0,000;0,0000;0,000;0,000
0,340;58,71;0,000;0,000;0,000;0,0000;0,000;0,000
0,360;58,70;0,000;0,000;0,000;0,0000;0,000;0,000
0,380;58,66;0,000;0,000;0,000;0,0000;0,000;0,000
0,400;58,61;0,000;0,000;0,000;0,0000;0,000;0,000
0,420;58,62;0,000;0,000;0,000;0,0000;0,000;0,000
0,440;58,64;0,000;0,000;0,000;0,0000;0,000;0,000
0,460;58,65;0,000;0,000;0,000;0,0000;0,000;0,000
0,480;58,64;0,000;0,000;0,000;0,0000;0,000;0,000
0,500;58,64;0,000;0,000;-10,908;0,0000;0,000;-0,260
0,520;58,67;0,000;-0,436;-10,908;0,0000;-0,010;-0,260
0,540;58,69;-0,017;-0,436;10,908;-4,1667E-4;-0,010;0,260
0,560;58,72;-0,017;0,000;10,908;-4,1667E-4;0,000;0,260
0,580;58,72;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,600;58,72;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,620;58,70;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,640;58,68;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,660;58,69;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,680;58,69;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,700;58,71;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,720;58,72;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,740;58,71;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,760;58,72;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,780;58,72;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,800;58,71;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,820;58,70;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,840;58,66;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,860;58,68;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,880;58,69;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,900;58,69;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,920;58,71;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,940;58,73;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,960;58,76;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,980;58,77;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,000;58,75;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,020;58,77;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,040;58,78;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,060;58,74;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,080;58,75;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,100;58,72;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
1,120;58,74;-0,017;0,000;-10,908;-4,1667E-4;0,000;-0,260
1,140;58,77;-0,017;-0,436;-76,358;-4,1667E-4;-0,010;-1,823
1,160;58,79;-0,035;-3,054;-76,358;-8,3333E-4;-0,073;-1,823
1,180;58,80;-0,140;-3,491;43,633;-0,0033;-0,083;1,042
1,200;58,79;-0,175;-1,309;76,358;-0,0042;-0,031;1,823
1,220;58,77;-0,192;-0,436;32,725;-0,0046;-0,010;0,781
1,240;58,81;-0,192;0,000;10,908;-0,0046;0,000;0,260
1,260;58,80;-0,192;0,000;0,000;-0,0046;0,000;0,000
1,280;58,80;-0,192;0,000;-10,908;-0,0046;0,000;-0,260
1,300;58,76;-0,192;-0,436;-10,908;-0,0046;-0,010;-0,260
1,320;58,76;-0,209;-0,436;10,908;-0,0050;-0,010;0,260
1,340;58,80;-0,209;0,000;1,665E-14;-0,0050;0,000;-5,204E-16
1,360;58,80;-0,209;-0,436;-21,817;-0,0050;-0,010;-0,521
1,380;58,83;-0,227;-0,873;-32,725;-0,0054;-0,021;-0,781
1,400;58,83;-0,244;-1,745;-54,542;-0,0058;-0,042;-1,302
