Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
1,640;60,13;-1,937;-3,491;32,725;-0,0462;-0,083;0,781
1,660;60,12;-1,990;-2,618;32,725;-0,0475;-0,063;0,781
1,680;60,13;-2,042;-2,182;21,817;-0,0487;-0,052;0,521
1,700;60,10;-2,077;-1,745;10,908;-0,0496;-0,042;0,260
1,720;60,08;-2,112;-1,745;21,817;-0,0504;-0,042;0,521
1,740;60,11;-2,147;-0,873;21,817;-0,0512;-0,021;0,521
1,760;60,14;-2,147;-0,873;-21,817;-0,0512;-0,021;-0,521
1,780;60,17;-2,182;-1,745;-32,725;-0,0521;-0,042;-0,781
1,800;60,21;-2,217;-2,182;-10,908;-0,0529;-0,052;-0,260
1,820;60,18;-2,269;-2,182;0,000;-0,0542;-0,052;0,000
1,840;60,14;-2,304;-2,182;0,000;-0,0550;-0,052;0,000
1,860;60,18;-2,356;-2,182;21,817;-0,0562;-0,052;0,521
1,880;60,18;-2,391;-1,309;21,817;-0,0571;-0,031;0,521
1,900;60,17;-2,409;-1,309;-21,817;-0,0575;-0,031;-0,521
1,920;60,21;-2,443;-2,182;-32,725;-0,0583;-0,052;-0,781
1,940;60,22;-2,496;-2,618;-10,908;-0,0596;-0,062;-0,260
1,960;60,20;-2,548;-2,618;2,776E-13;-0,0608;-0,062;4,337E-15
1,980;60,17;-2,601;-2,618;10,908;-0,0621;-0,062;0,260
2,000;60,20;-2,653;-2,182;-2,776E-13;-0,0633;-0,052;-4,337E-15
2,020;60,26;-2,688;-2,618;-32,725;-0,0642;-0,062;-0,781
2,040;60,27;-2,758;-3,491;-10,908;-0,0658;-0,083;-0,260
2,060;60,27;-2,827;-3,054;21,817;-0,0675;-0,073;0,521
2,080;60,24;-2,880;-2,618;0,000;-0,0687;-0,062;0,000
2,100;60,29;-2,932;-3,054;-32,725;-0,0700;-0,073;-0,781
2,120;60,34;-3,002;-3,927;-10,908;-0,0717;-0,094;-0,260
2,140;60,32;-3,089;-3,491;43,633;-0,0737;-0,083;1,042
2,160;60,32;-3,142;-2,182;43,633;-0,0750;-0,052;1,042
2,180;60,34;-3,176;-1,745;10,908;-0,0758;-0,042;0,260
2,200;60,37;-3,211;-1,745;2,776E-13;-0,0767;-0,042;0,000
2,220;60,40;-3,246;-1,745;2,776E-13;-0,0775;-0,042;8,674E-15
2,240;60,40;-3,281;-1,745;-2,776E-13;-0,0783;-0,042;0,000
2,260;60,40;-3,316;-1,745;10,908;-0,0792;-0,042;0,260
2,280;60,44;-3,351;-1,309;-2,054E-13;-0,0800;-0,031;-2,012E-14
2,300;60,47;-3,368;-1,745;-21,817;-0,0804;-0,042;-0,521
2,320;60,46;-3,421;-2,182;4,829E-13;-0,0817;-0,052;2,012E-14
2,340;60,48;-3,456;-1,745;10,908;-0,0825;-0,042;0,260
2,360;60,51;-3,491;-1,745;-10,908;-0,0833;-0,042;-0,260
2,380;60,56;-3,526;-2,182;-10,908;-0,0842;-0,052;-0,260
